19980428    8213 S25E54   114  0010 BXO  03   05 B
19980429    8210 S17E18   137  0230 CHO  08   16 BG
19980429    8212 S31W81   236  0000 AXX  00   01 A
19980429    8213 S24E40   115  0020 BXO  05   07 B
19980429    8214 N28E58   097  0000 AXX  00   02 B
19980430    8210 S16E02   140  0270 CHO  10   22 BG
19980430    8214 N26E47   095  0040 CRO  05   09 B
19980430    8215 N31W44   186  0000 BXO  04   02 B
19980430    8216 S21E51   091  0000 AXX  00   01 A
19980501    8210 S17W10   138  0340 DKI  10   30 GD
19980501    8214 N26E33   095  0140 DAI  09   28 BG
19980501    8216 S22E38   090  0010 AXX  00   01 A
19980502    8210 S17W22   137  0420 EKI  11   40 BGD
19980502    8214 N27E19   096  0200 EAI  10   27 B
19980502    8216 S21E25   090  0000 AXX  00   01 A
19980502    8217 S17E74   041  0040 HSX  01   02 A
19980503    8210 S17W36   138  0410 CKI  10   30 BG
19980503    8214 N27E06   096  0300 ESC  13   50 B
19980503    8216 S22E12   090  0000 AXX  01   02 A
19980503    8217 S16E60   042  0060 HSX  02   01 A
19980504    8210 S17W47   136  0430 CKO  07   14 BD
19980504    8214 N27W08   097  0510 EKI  14   60 B
19980504    8216 S22E00   089  0000 AXX  01   02 A
19980504    8217 S16E47   042  0040 HSX  02   01 A
19980505    8210 S17W60   136  0480 DKO  07   10 B
19980505    8214 N27W23   099  0650 FKC  17   52 BG
19980505    8216 S22W13   089  0000 AXX  01   02 A
19980505    8217 S15E34   042  0040 HSX  01   01 A
19980506    8210 S15W75   137  0390 CKO  08   13 B
19980506    8213 S22W50   112  0010 BXO  03   02 B
19980506    8214 N27W34   096  0620 FHC  17   43 B
19980506    8217 S17E21   041  0040 HSX  02   01 A
19980506    8218 S23E74   348  0010 AXX  01   02 A
19980507    8210 S15W85   134  0270 CAO  05   05 B
19980507    8214 N27W48   097  0620 FKC  18   31 B
19980507    8217 S17E09   040  0050 HSX  02   01 A
19980507    8218 S22E61   348  0160 DSO  08   05 B
19980508    8214 N28W61   097  0380 FKI  18   21 B
19980508    8217 S16W05   041  0040 HSX  01   01 A
19980508    8218 S20E48   348  0190 DKI  10   16 B
19980508    8219 N28E41   355  0010 BXO  03   03 B
